date_day,station,temp_F_max,temp_F_min,temp_F_mean,precip_in_sum
2020-12-15,Indian Ridge,35.7,23.4,28.8,0
2020-12-15,Sanfoin Bench,38.2,22.8,30.7,0
2020-12-15,Baldy Summit,26,21.5,23.5,0
2020-12-15,Baldy Draw,33.7,25.3,29.1,0
2020-12-15,South Baldy Ridge,31.3,24.9,26.9,0
2020-12-15,Orchard House,38.5,23.2,29.6,0
2020-12-14,Sanfoin Bench,32,24.2,29.1,0
2020-12-14,Orchard House,31.5,23.5,25.4,0
2020-12-14,South Baldy Ridge,28.1,22.2,24.9,0
2020-12-14,Indian Ridge,29.4,21.5,23.9,0
2020-12-14,Baldy Summit,24.9,18.1,23,0
2020-12-14,Baldy Draw,29.4,23.6,27,0
2020-12-13,Baldy Draw,25.3,21.8,23.4,0
2020-12-13,Indian Ridge,26.5,17.5,22.4,0
2020-12-13,Orchard House,28.4,15.7,22.5,0
2020-12-13,Baldy Summit,22,14.9,18.4,0
2020-12-13,Sanfoin Bench,28.6,17,24.5,0
2020-12-13,South Baldy Ridge,26,19,22.3,0
2020-12-12,South Baldy Ridge,24.2,21.1,22.7,0
2020-12-12,Sanfoin Bench,30.2,23.3,26.4,0
2020-12-12,Orchard House,29.4,22.8,25.2,0
2020-12-12,Baldy Draw,25,22.1,23.3,0
2020-12-12,Baldy Summit,22.1,20.2,21.2,0
2020-12-12,Indian Ridge,26.8,21.2,23.3,0
2020-12-11,South Baldy Ridge,31.8,20.5,25.3,0
2020-12-11,Orchard House,33.7,15.9,23.6,0
2020-12-11,Baldy Draw,33.7,22.7,27.9,0
2020-12-11,Baldy Summit,27.5,20.1,23.2,0
2020-12-11,Sanfoin Bench,33.3,17.5,28.3,0
2020-12-11,Indian Ridge,33.6,18.7,24.1,0
2020-12-10,Orchard House,43.7,25.7,35.3,0
2020-12-10,Baldy Summit,31.6,24.9,28.1,0
2020-12-10,Indian Ridge,40.9,26.9,34.9,0
2020-12-10,Sanfoin Bench,43,25,35,0
2020-12-10,Baldy Draw,37.7,30.1,34,0
2020-12-10,South Baldy Ridge,36.6,28.5,32.7,0
2020-12-09,South Baldy Ridge,51.7,37.5,45.2,0
2020-12-09,Sanfoin Bench,45.2,28.4,35.3,0
2020-12-09,Orchard House,44.8,28,36.7,0
2020-12-09,Indian Ridge,45.4,30.6,38.2,0
2020-12-09,Baldy Draw,53.6,38.4,45.9,0
2020-12-09,Baldy Summit,48.9,32,41.4,0
2020-12-08,Orchard House,51.1,23.7,30.2,0
2020-12-08,South Baldy Ridge,54.8,37.6,43.5,0
2020-12-08,Baldy Draw,54.2,27.6,41.2,0
2020-12-08,Sanfoin Bench,50.6,23,33.1,0
2020-12-08,Indian Ridge,48.1,24.4,30.2,0
2020-12-08,Baldy Summit,50.4,36,41.3,0
2020-12-07,Sanfoin Bench,36.5,20.7,29.2,0
2020-12-07,Indian Ridge,34.1,14.9,23.4,0
2020-12-07,South Baldy Ridge,42.2,28.3,32.3,0
2020-12-07,Baldy Draw,35.3,24.4,28.5,0
2020-12-07,Orchard House,37.3,14.1,23.5,0
2020-12-07,Baldy Summit,42.4,27,31.8,0
2020-12-06,Orchard House,33.5,13.9,22.1,0
2020-12-06,Sanfoin Bench,35,16.8,25.6,0
2020-12-06,Indian Ridge,31.7,15.4,21.9,0
2020-12-06,Baldy Draw,33.9,19.5,26.4,0
2020-12-06,South Baldy Ridge,37.9,24.3,30.6,0
2020-12-06,Baldy Summit,40,31.9,35.7,0
2020-12-05,Baldy Draw,34,18.3,27.1,0
2020-12-05,Sanfoin Bench,34.4,20.3,28.4,0
2020-12-05,Indian Ridge,31.2,16,23,0
2020-12-05,Orchard House,33.5,14.8,23.8,0
2020-12-05,South Baldy Ridge,35.5,22.3,29.3,0
2020-12-05,Baldy Summit,38.4,23.9,29.8,0
2020-12-04,Orchard House,37,15.3,24.5,0
2020-12-04,Sanfoin Bench,37.5,15.5,26.6,0
2020-12-04,Baldy Summit,39.1,28.2,33,0
2020-12-04,Baldy Draw,34.3,22.5,28.8,0
2020-12-04,Indian Ridge,34.3,17.5,24.5,0
2020-12-04,South Baldy Ridge,37.2,26.4,30.6,0
2020-12-03,South Baldy Ridge,39.3,25.4,29.9,0
2020-12-03,Sanfoin Bench,37.3,14.4,25.4,0
2020-12-03,Baldy Draw,34.7,20.5,26.4,0
2020-12-03,Indian Ridge,33,15.7,23.9,0
2020-12-03,Baldy Summit,38,25,29.1,0
2020-12-03,Orchard House,35.7,16.5,24.5,0
2020-12-02,Sanfoin Bench,35.9,25.6,32.8,0
2020-12-02,Baldy Summit,32.8,16.9,22.6,0
2020-12-02,Indian Ridge,32.3,18.3,25.7,0
2020-12-02,Orchard House,35.5,16.5,26.2,0
2020-12-02,South Baldy Ridge,30.2,20.1,25,0
2020-12-02,Baldy Draw,31.1,18,25.5,0
2020-12-01,Indian Ridge,37.9,33.4,35.6,0
2020-12-01,Sanfoin Bench,41.2,34,38.2,0
2020-12-01,Orchard House,41,35,37.8,0
2020-12-01,Baldy Summit,27.5,24,25.8,0
2020-12-01,South Baldy Ridge,32.6,28.4,30.5,0
2020-12-01,Baldy Draw,34.9,30.5,32.4,0
2020-11-30,Baldy Summit,32.1,27.1,29.2,0
2020-11-30,Sanfoin Bench,38.4,15.4,27.4,0
2020-11-30,Orchard House,38.4,14.5,24.1,0
2020-11-30,South Baldy Ridge,37,30.8,33.6,0
2020-11-30,Indian Ridge,35.6,16.6,24.7,0
2020-11-30,Baldy Draw,35.3,24.1,30.3,0
2020-11-29,Orchard House,40.5,20.6,30.4,0
2020-11-29,Sanfoin Bench,40.2,18.5,32.3,0
2020-11-29,Baldy Draw,36.7,25.9,32,0
2020-11-29,Indian Ridge,38.6,20.7,30.8,0
2020-11-29,South Baldy Ridge,37.8,28,33.6,0
2020-11-29,Baldy Summit,33.4,29.4,30.9,0
2020-11-28,Sanfoin Bench,36.9,18.8,31.4,0
2020-11-28,Baldy Draw,38.9,30.8,36.5,0
2020-11-28,South Baldy Ridge,39.3,31.1,34.9,0
2020-11-28,Indian Ridge,38.9,23.5,31.6,0
2020-11-28,Orchard House,41,22.4,29.6,0
2020-11-28,Baldy Summit,34.6,29,31.9,0
2020-11-27,Orchard House,44.8,25.5,33.3,0
2020-11-27,Baldy Draw,42.6,29.7,34.1,0
2020-11-27,Sanfoin Bench,45.5,28.3,36.2,0
2020-11-27,South Baldy Ridge,40.1,26.1,30.2,0
2020-11-27,Indian Ridge,42.2,25.9,33.2,0
2020-11-27,Baldy Summit,35.6,22.4,26,0
2020-11-26,Indian Ridge,39.3,29.4,33.1,0
2020-11-26,South Baldy Ridge,32.3,26.7,28.8,0
